Kich_ban,Accuracy,Mieu_ta_thay_doi
Kịch bản 1-11,N/A,Giai đoạn xây dựng nền tảng ban đầu và định hình kiến trúc
Kịch bản 12,72.47%,Trọng số Cấu trúc Thích ứng (Adaptive Structure Weights)
Kịch bản 13,Thất bại,Trộn nhiễu từ Layer 2 vào gây suy giảm mô hình
Kịch bản 14,N/A,Kích hoạt lõi CBAM (Spatial Attention) để thanh lọc nhiễu
Kịch bản 15,N/A,Tích hợp Symmetric Cross Entropy (SCE) chống nhiễu nhãn FER2013
Kịch bản 16,Thất bại,Tắt Class Weights và SCE để mạng tự học (Trở về bản ngã)
Kịch bản 17,70.86%,Bị Over-Regularization (weight_decay=0.003). Dọn dẹp bớt các hàm loss phụ trợ
Kịch bản 18,N/A,Kê đơn thủ công (Custom Class Weights) trị bệnh gộp nhãn vào Sad
Kịch bản 19,N/A,Nới lỏng Gông cùm Cấu trúc (Structural Expansion)
Kịch bản 20,70.99%,Dùng ResNet34 làm baseline đối chứng
Kịch bản 21,Quá nặng,Thử nghiệm ConvNeXt khổng lồ (17 phút/epoch trên Kaggle)
Kịch bản 22,N/A,Chuyển sang ConvNeXt-Tiny Native 48x48
Kịch bản 23,72.xx%,Nâng cấp Backbone lên ResNet50 + ROIAlign
Kịch bản 24,N/A,Áp dụng Differential Learning Rate (1/10 cho Backbone)
Kịch bản 25,71.72%,ResNet50 + Semantic Masked Pooling (Bỏ ROIAlign) + L1 Sparsity
Kịch bản 26,70.80%,Ép đa dạng bằng Entropy Sparsity và Macro Diversity (Bị Mode Collapse)
Kịch bản 27,TBD,Hạ masking_loss=0.1 + Tăng label_smoothing=0.15 (Cởi trói Soft Mask)
